Title,URL,Snippets,Location,Category,Award,Date
Research Experiences to Enhance Clinician-Scientists' Participation in NIDCDs Research (R25 Clinical Trial Not Allowed),https://grants.gov/search-results-detail/332637,"The NIH Research Education Program (R25) supports research education activities in the mission areas of the NIH. The overarching goal of this R25 program is to support educational activities that help recruit individuals with specific specialty or disciplinary backgrounds to research careers in biomedical, behavioral and clinical sciences. To accomplish the stated over-arching goal, this FOA will support creative educational activities with a primary focus on: Research Experiences",Nationwide,Health,250000,"Oct 01, 2024 12:00:00 AM EDT"
NHGRI Short Courses for Genomics-Related Research Education (R25 Clinical Trial Not Allowed),https://grants.gov/search-results-detail/337735,"The NIH Research Education Program (R25) supports research education activities in the mission areas of the NIH.  The over-arching goal of this NHGRI R25 program is to support educational activities that complement and/or enhance the training of a workforce to meet the nations biomedical, behavioral and clinical research needs.  To accomplish the stated over-arching goal, this FOA will support creative educational activities with a primary focus on: Courses for Skills Development. Proposed short courses are expected to facilitate the development of a cadre of investigators with the requisite research skills to advance the mission of NHGRI. Applications are encouraged that propose innovative, advanced-level courses that are intended to disseminate new knowledge, analyses, methods and techniques related to the scientific, medical, ethial, social and/or legal areas of genomics research.",Nationwide,Health,150000,"Jan 25, 2025 12:00:00 AM EST"
NIH Brain Development Cohorts (NBDC) Biospecimen Access (X01 Clinical Trial Not Allowed),https://grants.gov/search-results-detail/349847,"The Adolescent Brain Cognitive Development (ABCD) Study is the largest longitudinal study of brain development and child health collecting data from more than 11,000 children across the U.S. beginning when they are 9-10 years old and continuing for a decade. In addition to behavioral assessments, youth undergo neuroimaging and provide biospecimens, including saliva for hormone analysis, urine and hair for substance use and exposure, deciduous teeth for environmental exposure, and blood for genetic analysis and metabolic and hematologic assays.
This initiative allows investigators to apply for access to biological samples from the ABCD Study.  More information about the ABCD Study may be found on the ABCD Study website (www.abcdstudy.org). Information about this resource can be found on the NIDA funding opportunities page at https://nida.nih.gov/funding/nida-funding-opportunities/nih-brain-development-cohorts-biospecimen-access-program.",Nationwide,Education,none,"May 05, 2026 12:00:00 AM EDT"
Grants to Military-Connected Local Educational Agencies for Academic and Support Programs and the World Language Advancement and Readiness Program,https://grants.gov/search-results-detail/351849,"Technical Assistance Webinar will be held on February 29, 2024 on https://dodeagrants.org

For more information please contact: 

DoDEA Grant Program Office:
DoDEA.Grants@dodea.edu - 571-372-6026

DoDEA Procurement Division
Thatsanee Schwarzmann, Grants Officer
thatsanee.schwarzmann@dodea.edu

Jenny Suh, Grants Specialist
jenny.suh@dodea.edu",Nationwide,Education,2000000,"Mar 29, 2024 12:00:00 AM EDT"
Center for Inherited Disease Research (CIDR) High Throughput Sequencing and Genotyping Resource Access (X01 Clinical Trial Not Allowed),https://grants.gov/search-results-detail/348409,"The Center for Inherited Disease Research (CIDR) high-throughput genotyping, sequencing and supporting statistical genetics services are designed to aid the identification of genes or genetic modifications that contribute to human health and disease or to enhance existing collections of well-phenotyped specimens in biorepositories by the addition of genotype or next-generation sequence data. The laboratory specializes in genomic services that cannot be efficiently carried out in individual investigator laboratories. CIDR provides the most up-to-date platforms, services and statistical genetic support. This is an NIH-wide initiative that is managed by NHGRI. Information about current services offered can be accessed via: http://www.cidr.jhmi.edu.",Nationwide,Education,none,"Jul 08, 2026 12:00:00 AM EDT"
Investigator-Initiated Research in Genomics and Health Equity (R21 Clinical Trial Optional),https://grants.gov/search-results-detail/348533,"The purpose of this initiative is to support investigator-initiated research in genomics and health equity, with the ultimate goal of developing approaches, generating and disseminating data, and implementing metrics or interventions that will advance the equitable use of genomics to improve health in U.S. populations. Awardees will conduct innovative and generalizable research in genomics and health equity spanning across NHGRIs scientific areas and will incorporate a plan for strategies to facilitate inclusive and diverse perspectives. Applications from New or Early Stage Investigators from diverse backgrounds are encouraged. This R21 FOA will support small research projects that can be carried out in a short period of time with limited resources and seeks to facilitate the transition to research independence of diverse New Investigators. The R21 grant mechanism supports different types of projects including pilot and feasibility studies; secondary analysis of existing data; small, self-contained research projects; development of research methodology; and development of new research technology.",Nationwide,Health,200000,"Jul 08, 2025 12:00:00 AM EDT"
"LOIs received by July 31, 2024 will be considered during our Fall 2024 ...",https://jthershey.org/apply/,"Apply - Jacob & Terese Hershey Foundation. Home. About. Focus Areas. Apply. Recent Grants. LOIs received by July 31, 2024 will be considered during our Fall 2024 grantmaking cycle. LOIs received after this date will be considered during the Spring 2025 grantmaking cycle.",Maryland,Youth Support and Leadership Grants,,
Chemical Screening and Optimization Facility (X01 Clinical Trial Not Allowed),https://grants.gov/search-results-detail/348234,"The NICHD has a state-of-the-art Chemical Synthesis and Optimization Facility for advancing both non-hormonal contraceptive and reproductive health related product development. This facility has the capabilities and capacity for preclinical services including Investigational Device Exemption (IDE) or Investigational New Drug (IND)-enabling studies (e.g., protein generation, X-ray crystallography, high throughput screening, structure activity relationships, hit-to-lead generation, drug metabolism). The long-term objective is to enable a preclinical candidate for IND/IDE study(ies) that offers a safe therapeutic option in the field of contraception, and/or reproductive health related indications (pending contractor availability and available funding).",Nationwide,Health,none,"Apr 03, 2026 12:00:00 AM EDT"
Apply Or Renew | Office of Financial Aid | University of Notre Dame,https://financialaid.nd.edu/apply-or-renew/,"Beginning in the 2024-2025 academic year, students and parents are now considered “contributors” to the FAFSA and will need an FSA ID to apply for federal student aid. Create an FSA ID Who are contributors?",Massachusetts,High School/College Student Grants,,
Apply for a Grant | Minnesota Historical Society,https://www.mnhs.org/preservation/legacy-grants/apply,Minnesota 6th graders are granted FREE admission to MNHS historic sites and museums for one year. Teachers and parents may order them now! Field Trips. Transport your students to hands-on history destinations. Teacher Memberships. Discounted admission for educators. Teaching Native American History & Culture,Minnesota,Educators and Educational Institutions Grants,,
